filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
rebar.config.script,/thrift-0.12.0.tar.gz/lib/erl,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",bc06df23e2f37eacd4d4bcad48f529db,7ad0a856d53fd89b55d96d25f64c89feb7da72ab,7a4f6c3d48df4f95c772f404985a1236494caf9e8846aafcb421f8e813ad3010,270,270B
rebar.test.config,/thrift-0.12.0.tar.gz/lib/erl,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",5ceee84c64e054513fb466aa197798ce,ec676768381e52c72477229155247ded98218e02,72b8aeefa74ebe3f638fb529e0cac44ac8dae07579654a26faffed7834db5794,157,157B
thrift.app.src,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",48e0529f2a4da97f5a3592f83f73e594,47b679237006605ac5403b5f1fdce2deef9ae6d3,b1bdf45ae2a6680fddcdd322f55d3be26d51ecd08e35ab292b8b488511c01500,2552,2.5K
thrift_base64_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",b4556320de19d286bc34c777e492e873,e051c962ac611e267798db61c56e329cb05703c4,0447a5ab9762e558bccf13efdd92e04747867ae4978508803b9d441dbf98c6c2,2266,2.2K
thrift_binary_protocol.erl,/thrift-0.12.0.tar.gz/lib/erl/src,Apache-2.0 AND SCEA,75.00%,"Apache-2.0,SCEA",5fd6bc62cba9f60a8fb15c61bf043e3f,a99c0e95aba32be946f93107be73b80a4f28956a,74eb72bab6cd03547c6c264b14006f24811d855b9dfd4f17a06f10c589c5ca99,11351,11.1K
thrift_buffered_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",1d65bb0c5623ec3dc39ee1d6a7d763eb,55ee513158322b341c31e2da27e4803d28efa672,b4ff29accaa894e5bfcda5c5baf33df89ae6666904c178da9c22de96caf7eafe,2918,2.8K
thrift_client.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",2eb5bc8acbc244e4a522fad0b950f441,4d24549c5fd36c85005a42c82a887fd8626454b3,652c0d559321c01efc339634306651907ef1ac094c69cc92e90612b7df4c8128,6440,6.3K
thrift_client_util.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",4cd8031ef269732790f4f4d2475c5c01,8a234edb26dc2a6c1d64b4aee26c3f5ae31d5203,cf8434d962f52ad4f1ef1c624ede2d293816a38eb8be29a2ebb9cdef4987e468,4986,4.9K
thrift_compact_protocol.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA) AND ECL-2.0,102.00%,"Apache-2.0,SCEA",70f81e3a52e98c1433341182120125f8,cff431b527fcf987c23a24a30b4e8472b19f55d7,761840ec3326408335a192848a94a9ca625631dee9f19d7fe93f1b1eed1e9fef,13157,12.8K
thrift_disk_log_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",4d578c9fe290af9bab6b4f14d9c4eb7e,5c02ba5a17909dc847dcd4e59348c0e7cea9faff,6ef2222aa35663adc5da6518b8a99ca913d85e65f925c6c1b5a10ee94f5e7706,4183,4.1K
thrift_file_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",fe681da0e445f6b2667c762ef22620a0,23cdff5fc6194031498d8eaffef30afcf957b240,3465084a7a206912157b42f19aca74b8e174ecb932201b2951db59f2854b0106,3146,3.1K
thrift_framed_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",139795ca144e2977ca34f8d8f28288a4,0b23f03c5f29d02492d78f747b16e2b682757cb0,95f0547b4d574f639ac8f13b4e2503444071e0f819982ced5638d84d46414bc2,3918,3.8K
thrift_http_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",d2dca7ac62794f8ee45b13e2a0b0afb1,4f9af859b7c72f9086ae24db415f26aa1db074d4,7f0706979fd116cdce961e52dee74c19cd4908c540329bd78836ccb7fb03e77d,4436,4.3K
thrift_json_parser.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA) AND ECL-2.0,104.00%,"Apache-2.0,SCEA",29f0b6281a12774853d1a51d933c8644,9132c253862bdb8cda52fc74d53f854ac2cc64d0,aa6aa29c8ebb6814739222014eaa19e073918bb1d50b1ab09319d5e73b10ab0e,19818,19.4K
thrift_json_protocol.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA) AND ECL-2.0,103.00%,"Apache-2.0,SCEA",949b7aa44798d5016dc2af0e334a518c,cca8eab8e3d966d970b19d0ce90d77ee71216a99,131a1bc561e7486eafbc32657416dc137e5f9476ca9feed380ac419eb4daca84,17765,17.3K
thrift_membuffer_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",ed2377e0ad3d155a5c4d3a6dff856101,1ab0b0566f43996035b2cbe491607bc7b7d79605,5cb8860fe1f24c27c2104a0be4af92ddfb5fccac1064f50af8324caad0f94013,2270,2.2K
thrift_memory_buffer.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",c0fbbde6338ef8fc1bc44e19cfa7d311,7884e5795aae2cdad02114dd410861cafb84e690,564dca87279fe3b236ab3322ddac23d1513b292680c626605276f4f0467c9733,1499,1.5K
thrift_multiplexed_map_wrapper.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",d077f39f235636a76a2aab4d3ab804b2,cf387e97d55f06bef25ddab9822954498efc44fd,66d755ec6e8798980ed182c18da52a01fbfb02f1f0b0e47f632892e8612b3d0a,1977,1.9K
thrift_multiplexed_protocol.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",976f1fea9752ec8c670a6932371d2d8f,0a4ada434c89a1c08a7fc34685db7417f81a86b6,c4eb15da9bd691c86bb24455acea3ceeaeee726b2f80894c368851d246be39dc,4022,3.9K
thrift_processor.erl,/thrift-0.12.0.tar.gz/lib/erl/src,Apache-2.0 AND SCEA,74.00%,"Apache-2.0,SCEA",65e8b18a9223a34007e4891fe2b685fe,d299a6537e32b3471b7a0aeb517691d17e60387e,055c39536439721734c80143bba8a50e801b64ebc96af71dcce7a6a4d488bd7c,9459,9.2K
thrift_protocol.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA) AND ECL-2.0,102.00%,"Apache-2.0,SCEA",eaf274646a0ca099ec38e0bd3ba9ce50,13982b85dc080f164f860f6c85f0cc0df525a7ee,a31b9264b2f5af601a1835378f697382795a4112f0df71e4b521c0f827340a61,15892,15.5K
thrift_reconnecting_client.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",f0feac006c9ed6240836f6a8b788a116,99066b43db63b3e2e3bd94c896d4b5daf1d13e83,50205f41a4812669291808b0135c823228b5cfea7bf3643ec6a56014fc00b766,9396,9.2K
thrift_server.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",2ee4eccd04ee59323e7944991ba27a18,fe5618b29734d2281fb8c2aad5e7447519df06ef,7da5898a1a457f2a74feed44348b24cb5383066107bea5f63ebe5f824389c263,7812,7.6K
thrift_service.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",a374cfc91643a0197c2033a7ba59f2bf,b1ad27382abdc813cfa469c375cea80819da13e2,5053ee548077026e628a3c822746397d13271e2ecf194ca84b15b3151a9afb32,915,915B
thrift_socket_server.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA) AND ECL-2.0,102.00%,"Apache-2.0,SCEA",6863c7b83e8455482c14dd136d415a97,7131f2fdd33c4f38c740c2dcf5d510c5e0f70a0c,d733a5d267189641bdb8602535aa2300593db22e43984caef26986314c807055,13588,13.3K
thrift_socket_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",d0903fe3e16c8d7e3af938ad2a8f69b0,5a184645d9d24f18007181fd48c080cc0115129a,ca2f47b48051853a3fcdb587c3ab3af7a52c8aca653e893b993d26b9ce174050,5594,5.5K
thrift_sslsocket_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",82894980f4099fa6aee25c83b6730ba4,409b02380f737429135499d4e410fbaebb5e630e,2908a12b9962dac457c594cb9bb73f385b7058c65d75257fc2d4ac1f9456136f,5965,5.8K
thrift_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",f58280e64659c9221c29feab140d87ea,eb1a0d0b4d210b7b698ea805320a500049eee81e,f7283760f8f03af74243c05cc256a59b935f9d73024411cd380e14a31f08c946,3895,3.8K
thrift_transport_state_test.erl,/thrift-0.12.0.tar.gz/lib/erl/src,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",acda2bf19d219801e7012afb12d0b07d,11eeee6fb5896614766d724670ae09af8f0e6f1e,d94bbff331430147505997c0465086293ee687f0d0ed9f41212be5c26b8c390c,3988,3.9K
Thrift1151.thrift,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",5dd91c5f3f3e44514c89b9dde7819d46,f951784a7d718d97978d6d76610005ac0ec6c96c,8249b7f4dfcaad4008d171af1fda29016d82bfb9b767c8eba41e14ea63dec531,91,91B
Thrift1475.thrift,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",48938e99164c022aa17e76715342ee14,451c1053699bb79512edeebe4886408835160827,6b608376e8b4df04323cf9d602df8c2528f679b8b15e6a503a1a5d214533dbdd,747,747B
Thrift_omit_with.thrift,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",83d4829caa24e57ff38cf890f8962411,48e47030a1a7b94ec065903c7da36b1b0bd44c1e,3a06c090f4bb36a0ee802885ba0e02ab7e6a6792cdd372129209c756b29c70bb,314,314B
LegacyNames.thrift,/thrift-0.12.0.tar.gz/lib/erl/test/flags,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",225a2e2b95075e3dc0e8b365cabe3e5f,99e569b28c1c7c8e1cf12aa2983162ec605e3863,2962a6ea108ae3b07c033e46e2f824a65dd67d869670f3fa5ce7acb22238f5cd,449,449B
Thrift3214.thrift,/thrift-0.12.0.tar.gz/lib/erl/test/flags,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",85a9fd3e865f00052112a2628f81f517,a6af81af8102cb6de8d4bd36239d78e74d93da64,54f04ad6bc1dfa0232b53b0bc935ef30ed4e48557f8b31ded81808e1e7893c73,873,873B
legacy_names_test.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",96505ee5549e5dbe99cc69cd82c69465,7c781de6f64e4ff2c55cd79efe2308edcdda0d31,76fd0e957a405aa3d5ccc273cfb0e05c19907dceceb1eb2ba91c1c7f7daaacd1,2305,2.3K
multiplexing.thrift,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",70a1d172ebc9ff08482d38ff98fde9de,37893272b699f85a047cbd4954a41163a02cd610,36e9833b27377b558547822b368c395af40a5100712e7f06f99a82e12ce35db1,136,136B
multiplexing_test.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",cd235eb6390b4a21c3aec8fe713d856d,416b565dab776521a80ebbadc3d66796a35678d0,906a62caaffc482d56bd3b72982604485eab88a81c85283ade0aeb1c3224b6e5,1939,1.9K
name_conflict_test.erl,/thrift-0.12.0.tar.gz/lib/erl/test,Apache-2.0 AND SCEA,74.00%,"Apache-2.0,SCEA",46dc7fdea8bee7733a77fdaab987eeee,9adc0f351add0001010c7a09fad0725a7d929280,58667dca05ea857ee3c982b62d7a5bfb7c597ea59101816039add19c68d2eb85,10175,9.9K
stress_server.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",8203ec2db6a2b5bfecc5da9f3cb580fd,08474b1279b59577ee9f21910dbe5471ab4ddede,92f90fbbdc094ce30e44fdce4fd644a15aa9acfd2079ea5d6159c3db7f30f477,1483,1.4K
test_const.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",9f4dbb75593e5ac8d5c097eb8149e78a,cfa59fb43defb48b2bb0b09a04bfbe5949d32b1c,70bb262200442512fc1a256d3bc363601f97b74f50ea2ef2e70f4dd3c71d62c9,2130,2.1K
test_disklog.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",b7762dc2c633d12692000cc601809280,8e987c05d3bc90728fe6ca4989396b16e5bf5e13,409559f7a4c6ab27fbe0be19522c42e034166e3dab80f8489c0b879c8b5d6646,3290,3.2K
test_omit.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",3cd42d00462483ae0d1467f85c576b1b,2e7f9bd85ef58a8d75ad09d8d922302284a9c46f,0a1edce3e27d15f7b8fd656a74da132ae12ba19a68c503475b2a3968641051b1,3185,3.1K
test_rendered_double_constants.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",2da2b86db2a9e8a885da0c5a35bdd861,cd5cb20b55f8132e07fdea701d47fb403ecab3e3,fb0db54f9c25a022823e898b30aa5c5a8d3b1339fcea4f7cb9db528fbad69cc2,4575,4.5K
test_thrift_1151.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",5d040d432cbb021158a102d33bf32329,119574299aa40f10f3e941397bed81ee74bd9c01,ee1a19ce1739cc4bdf14a8ad1fb992f526f7bafecc56220fd401502846f04fea,823,823B
test_thrift_3214.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",c14861de96d516f59c29bb65949521d9,349c3c49329fff7c8f993240c41d1e59b297c50f,8bddb3ddbac88795b3c83535367a479a0192fbef80e747f1038bc6a1cb56ffd3,1799,1.8K
test_thrift_buffered_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/test,Apache-2.0 AND SCEA,74.00%,"Apache-2.0,SCEA",5933e80d950dde07971a90317c0f41e5,a341a893b88ef05a17a5746c2171abd7ae8e5fed,8167b77165e330d4b48158fca5e7339f57e2dbcdc7c3d53f0dc9fe0ca2ace4f9,9021,8.8K
test_thrift_compact_protocol.erl,/thrift-0.12.0.tar.gz/lib/erl/test,Apache-2.0 AND SCEA,74.00%,"Apache-2.0,SCEA",8bb101422521b5a1b6cf15c0df61d1c4,489e76b6b561631085a2ff735c938318b884ce70,ab8641f34793454c6954068f159f2d1c65df10bbb5b5fba3581db57a3db7d82e,8700,8.5K
test_thrift_file_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",0206865122532b76be5af66100cd6357,a22982c3ce248bec590d279981e1c8105838c54d,847822b027e2bfa72766933604a1476bbedfbac985e5b0c24fc22c3adf0c7911,6875,6.7K
test_thrift_framed_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/test,Apache-2.0 AND SCEA,74.00%,"Apache-2.0,SCEA",7a87a5a783ed567fdc3af9a32846994c,548a6a6c37112d5a9b5f4766ae7b6e0c7dcd8165,fcc114287f8cce79f88a5202e73602db38ec143ecacc1affb67dded0f178c13c,9643,9.4K
test_thrift_membuffer_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",e5880eecb7825c0fbcf80e2837e117ba,50e0f93b176f7d56eca402d2abd554a3c7d17920,78ba4d075e8b391751db505488b3364f45278656d4f5ece358d068a077b57fa8,5474,5.3K
test_thrift_socket_transport.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",46815234c0e890a77b1ffca69e787591,42878566e7b5cd3bf7b9fc74fdb78a0128908bf6,899d6e9ade33dbe09906231a1a6925e58e71e7bb108f6884a22ae8259720b6e5,6951,6.8K
thrift_socket_server_test.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA),100.00%,"Apache-2.0,SCEA",cb60c18db0e2dd2d2aa81b655f056d00,81f0cd0ecdec909c07b3d6bf9d0d488f47a84166,7642f124b9547b53522353b2a86c7d6f3d05f5ee42b8b404eb69ad821d2256b4,4014,3.9K
thrift_test_test.erl,/thrift-0.12.0.tar.gz/lib/erl/test,(Apache-2.0 OR SCEA) AND MPL-1.0,63.00%,"Apache-2.0,SCEA",812ca65a9ae12431add83010a0ce95ec,c7c789c9eaed256650ac4a954b92a48c5f7f8bbe,22c73aa87165cc7e0f530bbb026d4f9715ad7457036867c87c03a68c0cfbff6f,23628,23.1K
