/libpng-1.6.34.tar.gz/CHANGES,Libpng;Libpng;Libpng;Libpng;Libpng,Libpng;Libpng;Libpng;Libpng;Libpng
/libpng-1.6.34.tar.gz/contrib/tools/pngfix.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/tools/reindent,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/sRGB.h,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/visupng/PngFile.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/visupng/PngFile.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/visupng/README.txt,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/visupng/VisualPng.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/depcomp,Autoconf-exception-2.0;GPL-2.0-or-later,Autoconf-exception-2.0;GPL-2.0-or-later
/libpng-1.6.34.tar.gz/example.c,CC0-1.0;Public Domain,CC0-1.0;Public Domain
/libpng-1.6.34.tar.gz/install-sh,Public Domain;X11,Public Domain;X11
/libpng-1.6.34.tar.gz/intel/filter_sse2_intrinsics.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/intel/intel_init.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/libpng-config.in,Libpng,Libpng
/libpng-1.6.34.tar.gz/libpng-manual.txt,Libpng;See License mention,Libpng;See License mention
/libpng-1.6.34.tar.gz/libpng.3,Libpng;Libpng;See License mention,Libpng;Libpng;See License mention
/libpng-1.6.34.tar.gz/ltmain.sh,GPL-2.0-or-later;GPL-3.0-or-later;GPL-3.0-or-later;Libtool-exception;Libtool-exception,GPL-2.0-or-later;GPL-3.0-or-later;GPL-3.0-or-later;Libtool-exception;Libtool-exception
/libpng-1.6.34.tar.gz/mips/filter_msa_intrinsics.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/mips/mips_init.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/missing,Autoconf-exception-2.0;GPL-2.0-or-later,Autoconf-exception-2.0;GPL-2.0-or-later
/libpng-1.6.34.tar.gz/png.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/png.h,Libpng;Libpng;Libpng,Libpng;Libpng;Libpng
/libpng-1.6.34.tar.gz/pngconf.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngdebug.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngerror.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngget.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pnginfo.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngmem.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngpread.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngpriv.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngread.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngrio.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngrtran.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngrutil.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngset.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngstruct.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngtest.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngtrans.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwio.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwrite.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwtran.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwutil.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/powerpc/filter_vsx_intrinsics.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/powerpc/powerpc_init.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/projects/visualc71/README.txt,Libpng;See License mention,Libpng;See License mention
/libpng-1.6.34.tar.gz/projects/visualc71/README_zlib.txt,Libpng;Zlib,Libpng;Zlib
/libpng-1.6.34.tar.gz/projects/vstudio/README.txt,Libpng,Libpng
/libpng-1.6.34.tar.gz/projects/vstudio/zlib.props,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/def.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/dfn.awk,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/genchk.cmake.in,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/genout.cmake.in,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/gensrc.cmake.in,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/intprefix.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/libpng-config-head.in,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/libtool.m4,FSFULLR;GPL-2.0-or-later;Libtool-exception,FSFULLR;GPL-2.0-or-later;Libtool-exception
/libpng-1.6.34.tar.gz/scripts/ltoptions.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/ltsugar.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/ltversion.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/lt~obsolete.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/makefile.32sunu,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.64sunu,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.aix,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.amiga,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.atari,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.beos,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.cegcc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.darwin,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.dec,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.dj2,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.freebsd,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.gcc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.hp64,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.hpgcc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.hpux,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.ibmc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.intel,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.knr,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.linux,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.linux-opt,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.mips,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.msc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.msys,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.ne12bsd,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.netbsd,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.openbsd,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.sco,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.sggcc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.sgi,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.so9,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.solaris,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.solaris-x86,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.std,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.sunos,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/makefile.vcwin32,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/options.awk,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/pnglibconf.dfa,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/pnglibconf.h.prebuilt,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/prefix.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/smakefile.ppc,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/sym.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/symbols.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/test.cmake.in,Libpng,Libpng
/libpng-1.6.34.tar.gz/scripts/vers.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/test-driver,Autoconf-exception-2.0;GPL-2.0-or-later,Autoconf-exception-2.0;GPL-2.0-or-later
