filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
infback9.c,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,23ff5edec0817da303cb1294c1e4205c,17fb362c03755b12f2dda5b12a68cf38162674bd,0a715c85a1ce3bb8b5a18d60941ffabc0186a886bcc66ba2ee0c4115a8e274e9,21629,21.1K
infback9.h,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,52b1ed99960d3ed7ed60cd20295e64a8,d0486a32b558dcaceded5f0746fad62e680a4734,dda2302f28157fe43a6143f84802af1740393572c2766559593996fd7a5a3245,1594,1.6K
inffix9.h,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,1558f49aeca6376b7aa331add59e0e06,7a57a5901d920d1d3fcf4f8d6bedf8c9c68b41a7,84a2ba4727767c18af6505f0e81d9c814489c8b9ed330a25dad433db72997e43,6599,6.4K
inflate9.h,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,8a4de1bca6c4182d025ea55062d125d9,c7541490d97f70268010ae1baeb98a10302f3df8,32a907676cc36e27d0fdc0d99adb83a0b23f20ab61896269216d40fecf08d349,1991,1.9K
inftree9.c,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,24ad6e3224225202cc5d359440c2f4d9,2729fd3758fb3eb6e84ec51d1c118bd5888ee874,0c7f10396703b230c504207fe1595a2f2f8ba9c43158c4bd79d5b22ca36e04e0,13406,13.1K
inftree9.h,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,be5cf855a19b76feb28468e5b46145b7,cfb5d10e9b79029c758cf0428875f9cffa9d6cdf,8ae61d52e50d2dbdb0378548ecc54fcd88f108c8b6fc30562a3ebec1ca6a599e,2901,2.8K
inffas86.c,/zlib-1.2.11.tar.gz/contrib/inflate86,Info-ZIP,100.00%,Info-ZIP,06aaf02bb8b5a73503774d78760b191f,d9dfc1538fb2bf1daef2fec42e68472ede564abc,6f266f3c7e0faca653256d0189c0f00d7dc0b062d02e25df4e1202e49369595c,40608,39.7K
inffast.S,/zlib-1.2.11.tar.gz/contrib/inflate86,Info-ZIP,100.00%,Info-ZIP,56cc7e752a85f9d6489892aad226976b,e5c30f2fc07023d7024571c9882383236d2a1cb0,70777bd21526680005fc34f086d108af49e2668ad86d1749e8e8100a81bfb288,42842,41.8K
test.cpp,/zlib-1.2.11.tar.gz/contrib/iostream,Info-ZIP,100.00%,Info-ZIP,a20e40dae1e8b28ef2ec9ed98fdc8a03,0074186cc98585f48eb8d18c2be887955238b741,0f3c77e013949eb9c91e6b690ea894e19d97944d6b0885b82806fc3ad99680cf,526,526B
zfstream.cpp,/zlib-1.2.11.tar.gz/contrib/iostream,Info-ZIP,100.00%,Info-ZIP,a73c28679044fdf0a8057c5193db8da0,a8f677a8e32a4923a8a57c61e60ecb899eca5cab,8ebb9b3d521cc3392953f27658cf1f6dcb763216079f69a1518ec5ca0e42a63b,5112,5K
zfstream.h,/zlib-1.2.11.tar.gz/contrib/iostream,Info-ZIP,100.00%,Info-ZIP,93f90ecc4d5299d820c3da08f7c7e7d2,57f03c37ca952cec5e58c827995365c18c728285,4369c35e66f63f52ca4a5e1759bf720507ccabb8f3f132e2f18e68686c812401,2467,2.4K
zstream.h,/zlib-1.2.11.tar.gz/contrib/iostream2,Info-ZIP,100.00%,Info-ZIP,a980b61c1e8be68d5cdb1236ba6b43e7,fca4540d490fff36bb90fd801cf9cd8fc695bb17,d0343e0c57ff58008b6f29643d289c72713aa2d653fe3dcd2e939fc77e7e20b6,9283,9.1K
zstream_test.cpp,/zlib-1.2.11.tar.gz/contrib/iostream2,Info-ZIP,100.00%,Info-ZIP,d32476bde4e6d5f889092fdff6f8cdb0,e18a6d55cbbd8b832f8d795530553467e5c74fcf,f789df183cc58b78751985466380c656308490a9036eb48a7ef79704c3d3f229,711,711B
README,/zlib-1.2.11.tar.gz/contrib/iostream3,Info-ZIP,100.00%,Info-ZIP,7ec7295bc3b6fe132dba702e0f1f8892,d4a3dfd7a48721d6e7d12da226855bab19f6e8c1,43ec48ecbd95a8c45db20b107fac73b740bb11595a4737329188f06b713972cc,1490,1.5K
TODO,/zlib-1.2.11.tar.gz/contrib/iostream3,Info-ZIP,100.00%,Info-ZIP,06be56f0740f2a8dd9b9e04824709ad8,c40d91b8e4051c4fac646e0213dee173e207bcee,af5ebc83fb88f69706c8af896733784753dead147687e1c046f410c0997fd88b,491,491B
test.cc,/zlib-1.2.11.tar.gz/contrib/iostream3,Info-ZIP,100.00%,Info-ZIP,8e843c6f8614b260b153091edf9af3ec,b81342fb774937c210f5718ad5783f1eed13f7a7,8e17fc48dfdbc6e268838b8b427491b5843b6d18bc97caa6924de9fad7abe3da,1490,1.5K
zfstream.cc,/zlib-1.2.11.tar.gz/contrib/iostream3,Info-ZIP,100.00%,Info-ZIP,dda5e85498fe3936fabd955b5504c74e,19b83e921e89a638ebf978ca2beea7aefd78f9c2,8cdd67ed0b13c192c11e5ea90e9d5782d6627eb303fbc4aa5ebda2531ec00ff8,13447,13.1K
zfstream.h,/zlib-1.2.11.tar.gz/contrib/iostream3,Info-ZIP,100.00%,Info-ZIP,938f58c179fabf6ff9ffb85395ada81f,351a3f5bfb93196701cc86b27db866a18ca54105,1bd74778fac45ee090dfc0f182a23e8a849152deb630606884b2635987b357b1,12240,12K
bld_ml64.bat,/zlib-1.2.11.tar.gz/contrib/masmx64,Info-ZIP,100.00%,Info-ZIP,94027d9beeb5a59503ac3978f9999e90,1d723acf46ecfb6e16922ea55309cee9c77b9d49,1c0561908a07ebdff271b12ed757241e1813d3db0f3551501b2595c23f0833aa,86,86B
