/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-2.5.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-4.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-SA-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-SA-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-SA-2.5.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-SA-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-SA-4.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-ND-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-ND-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-ND-2.5.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-ND-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-ND-4.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-SA-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-SA-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-SA-2.5.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-SA-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-SA-4.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC0-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CDDL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CDDL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CECILL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CECILL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CECILL-2.0.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CECILL-2.1.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CECILL-B.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CECILL-C.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CNRI-Jython.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CNRI-Python-GPL-Compatible.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CNRI-Python.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CPAL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CPL-1.0.c,CPL-1.0,CPL-1.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CPOL-1.02.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CUA-OPL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Caldera.c,BSD-4-Clause,BSD-4-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ClArtistic.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Condor-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Crossword.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CrystalStacker.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Cube.c,Zlib,Zlib
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/D-FSL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/DOC.c,Permissive_ACE,Permissive_ACE
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/DSDP.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Dotseqn.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ECL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ECL-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/EFL-1.0.c,suspiciousLicensey,suspiciousLicensey
